date,BEV_Registrations,Total_Vehicle_Registrations,BEV_Share,Charging_Infrastructure,RHDI_per_head,CPI,Petrol_Price,PiCG_Amount_GBP,GT_Index,BEV_Registrations_lag_1,BEV_Registrations_lag_3,BEV_Registrations_lag_6,BEV_Registrations_lag_12,BEV_Share_lag_1,BEV_Share_lag_3,BEV_Share_lag_6,BEV_Share_lag_12,Charging_Infrastructure_lag_1,Charging_Infrastructure_lag_3,Charging_Infrastructure_lag_6,Charging_Infrastructure_lag_12,RHDI_per_head_lag_1,RHDI_per_head_lag_3,RHDI_per_head_lag_6,RHDI_per_head_lag_12,Petrol_Price_lag_1,Petrol_Price_lag_3,Petrol_Price_lag_6,Petrol_Price_lag_12,GT_Index_lag_1,GT_Index_lag_3,GT_Index_lag_6,GT_Index_lag_12,BEV_Share_rolling_mean_3,BEV_Share_rolling_std_3,BEV_Share_rolling_mean_6,BEV_Share_rolling_std_6,BEV_Share_rolling_mean_12,BEV_Share_rolling_std_12,Petrol_Price_rolling_mean_3,Petrol_Price_rolling_std_3,Petrol_Price_rolling_mean_6,Petrol_Price_rolling_std_6,Petrol_Price_rolling_mean_12,Petrol_Price_rolling_std_12,GT_Index_rolling_mean_3,GT_Index_rolling_std_3,GT_Index_rolling_mean_6,GT_Index_rolling_std_6,GT_Index_rolling_mean_12,GT_Index_rolling_std_12,FuelPrice_x_Policy,Interest_x_Income
2011-01-31,54,424100,0.0001273284602688,0,5129.0,91.3,127.4,5000.0,-1.574770773452645,54.0,54.0,54.0,54.0,0.0001273284602688,0.0001273284602688,0.0001273284602688,0.0001273284602688,0.0,0.0,0.0,0.0,5129.0,5129.0,5129.0,5129.0,127.4,127.4,127.4,127.4,-1.574770773452645,-1.574770773452645,-1.574770773452645,-1.574770773452645,0.00023686705275935234,0.0002139300553965155,0.0003312197334577615,0.0002678090460678068,0.00030081706501029965,0.00027428860306669324,129.54999999999998,2.4713356712514907,132.46833333333333,3.615441420721228,133.4075,2.7258163914688063,-1.770851060950113,0.22596795898003225,-1.8942102698256467,0.19718546356736907,-1.9760528179701486,0.15846864364883298,637000.0,-8076.9992970386165
2011-02-28,36,360400,9.988901220865704e-05,0,5088.0,92.0,129.0,5000.0,-2.017974768939793,54.0,54.0,54.0,54.0,0.0001273284602688,0.0001273284602688,0.0001273284602688,0.0001273284602688,0.0,0.0,0.0,0.0,5129.0,5129.0,5129.0,5129.0,127.4,127.4,127.4,127.4,-1.574770773452645,-1.574770773452645,-1.574770773452645,-1.574770773452645,0.00023686705275935234,0.0002139300553965155,0.0003312197334577615,0.0002678090460678068,0.00030081706501029965,0.00027428860306669324,129.54999999999998,2.4713356712514907,132.46833333333333,3.615441420721228,133.4075,2.7258163914688063,-1.770851060950113,0.22596795898003225,-1.8942102698256467,0.19718546356736907,-1.9760528179701486,0.15846864364883298,637000.0,-8076.9992970386165
2011-03-31,320,662000,0.0004833836858006,0,5047.0,92.2,132.25,5000.0,-1.7198076404579006,36.0,54.0,54.0,54.0,9.988901220865704e-05,0.0001273284602688,0.0001273284602688,0.0001273284602688,0.0,0.0,0.0,0.0,5088.0,5129.0,5129.0,5129.0,129.0,127.4,127.4,127.4,-2.017974768939793,-1.574770773452645,-1.574770773452645,-1.574770773452645,0.00023686705275935234,0.0002139300553965155,0.0003312197334577615,0.0002678090460678068,0.00030081706501029965,0.00027428860306669324,129.54999999999998,2.4713356712514907,132.46833333333333,3.615441420721228,133.4075,2.7258163914688063,-1.770851060950113,0.22596795898003225,-1.8942102698256467,0.19718546356736907,-1.9760528179701486,0.15846864364883298,645000.0,-10267.455624365666
2011-04-30,320,434400,0.0007366482504604,0,5063.3333,93.2,134.29,5000.0,-2.0179747689397924,320.0,54.0,54.0,54.0,0.0004833836858006,0.0001273284602688,0.0001273284602688,0.0001273284602688,0.0,0.0,0.0,0.0,5047.0,5129.0,5129.0,5129.0,132.25,127.4,127.4,127.4,-1.7198076404579006,-1.574770773452645,-1.574770773452645,-1.574770773452645,0.00043997364948988567,0.00032059149289104374,0.0003312197334577615,0.0002678090460678068,0.00030081706501029965,0.00027428860306669324,131.84666666666666,2.667964267626823,132.46833333333333,3.615441420721228,133.4075,2.7258163914688063,-1.9185857261124954,0.172146871892518,-1.8942102698256467,0.19718546356736907,-1.9760528179701486,0.15846864364883298,661250.0,-8679.869161391025
2011-05-31,38,447300,8.495416946121172e-05,0,5079.6667,93.4,136.28,5000.0,-1.9952050944405493,320.0,36.0,54.0,54.0,0.0007366482504604,9.988901220865704e-05,0.0001273284602688,0.0001273284602688,0.0,0.0,0.0,0.0,5063.3333,5088.0,5129.0,5129.0,134.29,129.0,127.4,127.4,-2.0179747689397924,-2.017974768939793,-1.574770773452645,-1.574770773452645,0.00043499536857407066,0.0003285306161309104,0.0003312197334577615,0.0002678090460678068,0.00030081706501029965,0.00027428860306669324,134.2733333333333,2.015051694953195,132.46833333333333,3.615441420721228,133.4075,2.7258163914688063,-1.9109958346127476,0.1659647815271177,-1.8942102698256467,0.19718546356736907,-1.9760528179701486,0.15846864364883298,671450.0,-10217.678846132658
2011-06-30,218,479000,0.0004551148225469,0,5096.0,93.3,135.59,5000.0,-2.0395285727232,38.0,320.0,54.0,54.0,8.495416946121172e-05,0.0004833836858006,0.0001273284602688,0.0001273284602688,0.0,0.0,0.0,0.0,5079.6667,5047.0,5129.0,5129.0,136.28,132.25,127.4,127.4,-1.9952050944405493,-1.7198076404579006,-1.574770773452645,-1.574770773452645,0.0004255724141561706,0.0003268499032009764,0.0003312197334577615,0.0002678090460678068,0.00030081706501029965,0.00027428860306669324,135.38666666666666,1.0104619405666966,132.46833333333333,3.615441420721228,133.4075,2.7258163914688063,-2.017569478701181,0.022164518422496827,-1.8942102698256467,0.19718546356736907,-1.9760528179701486,0.15846864364883298,681400.0,-10134.976877900013
2011-07-31,336,429200,0.0007828518173345,0,5093.3333,93.3,134.56,5000.0,-2.0622982472224427,218.0,320.0,54.0,54.0,0.0004551148225469,0.0007366482504604,0.0001273284602688,0.0001273284602688,0.0,0.0,0.0,0.0,5096.0,5063.3333,5129.0,5129.0,135.59,134.29,127.4,127.4,-2.0395285727232,-2.0179747689397924,-1.574770773452645,-1.574770773452645,0.00044097360311420386,0.00034916366118490884,0.00044047362630204477,0.0002997965426996089,0.00030081706501029965,0.00027428860306669324,135.47666666666666,0.8655826554025933,133.66166666666666,2.664578140469284,133.4075,2.7258163914688063,-2.032343971462064,0.03411871420517873,-1.97546484878728,0.12728603371957695,-1.9760528179701486,0.15846864364883298,677950.0,-10393.437606597428
2011-08-31,36,357300,0.0001007556675062,0,5090.6667,93.8,135.47,5000.0,-2.0395285727232,336.0,38.0,36.0,54.0,0.0007828518173345,8.495416946121172e-05,9.988901220865704e-05,0.0001273284602688,0.0,0.0,0.0,0.0,5093.3333,5079.6667,5088.0,5129.0,134.56,136.28,129.0,127.4,-2.0622982472224427,-1.9952050944405493,-2.017974768939793,-1.574770773452645,0.00044624076912920004,0.0003411346523305611,0.0004406180688516353,0.0002995997737190617,0.00030081706501029965,0.00027428860306669324,135.20666666666668,0.5632347053705045,134.74,1.4185908501044586,133.4075,2.7258163914688063,-2.047118464222948,0.013146077701494046,-1.9790571494178477,0.12901806971936056,-1.9760528179701486,0.15846864364883298,672800.0,-10503.9723371097
2011-09-30,38,629800,6.033661479834869e-05,0,5088.0,94.4,135.17,5000.0,-2.0395285727232,36.0,218.0,320.0,54.0,0.0001007556675062,0.0004551148225469,0.0004833836858006,0.0001273284602688,0.0,0.0,0.0,0.0,5090.6667,5096.0,5047.0,5129.0,135.47,135.59,132.25,127.4,-2.0395285727232,-2.0395285727232,-1.7198076404579006,-1.574770773452645,0.0003146480332130162,0.0004059796947566561,0.00037011022368459346,0.000335188624802759,0.00030081706501029965,0.00027428860306669324,135.06666666666666,0.4637168676399308,135.22666666666666,0.7246700398572803,133.4075,2.7258163914688063,-2.047118464222948,0.013146077701494046,-2.032343971462064,0.022969041293524443,-1.9760528179701486,0.15846864364883298,677350.0,-10382.560188860523
2011-10-31,218,431800,0.0005048633626679,0,5078.3333,94.5,134.67,5000.0,-2.0610823765066058,38.0,336.0,320.0,54.0,6.033661479834869e-05,0.0007828518173345,0.0007366482504604,0.0001273284602688,0.0,0.0,0.0,0.0,5088.0,5093.3333,5063.3333,5129.0,135.17,134.56,134.29,127.4,-2.0395285727232,-2.0622982472224427,-2.0179747689397924,-1.574770773452645,0.00022198521499081623,0.0002458118381615569,0.0003314794090525101,0.0002955034061882015,0.00030081706501029965,0.00027428860306669324,135.10333333333332,0.4041451884333107,135.29,0.6378401053556345,133.4075,2.7258163914688063,-2.0467131739843354,0.012444094416405654,-2.0395285727231998,0.024280013432480308,-1.9760528179701486,0.15846864364883298,675849.9999999999,-10377.121378015643
