date,BEV_Registrations,Total_Vehicle_Registrations,BEV_Share,Charging_Infrastructure,RHDI_per_head,CPI,Petrol_Price,PiCG_Amount_GBP,picg_active,GT_Awareness_General,GT_Awareness_Consideration,GT_Infrastructure_Concern,GT_Range_Anxiety
2019-07-31,3200,259500,0.0123314065510597,14125,5866.3333,107.9,127.26,3500.0,1,39,28,54,25
2019-08-31,6500,195400,0.033265097236438,14621,5863.6667,108.4,128.28,3500.0,1,36,27,57,25
2019-09-30,9900,446600,0.022167487684729,15100,5861.0,108.5,127.25,3500.0,1,34,26,49,30
2019-10-31,5400,246600,0.0218978102189781,15569,5876.6667,108.3,126.49,3500.0,1,41,31,52,32
2019-11-30,7600,260500,0.0291746641074856,16022,5892.3333,108.5,125.51,3500.0,1,37,29,47,33
2019-12-31,8200,251300,0.0326303223239156,16490,5908.0,108.5,124.6,3500.0,1,38,31,50,30
2020-01-31,6800,252100,0.0269734232447441,16980,5882.3333,108.2,126.94,3500.0,1,51,40,68,44
2020-02-29,5500,182100,0.0302031850631521,17440,5856.6667,108.6,124.46,3500.0,1,77,49,100,62
2020-03-31,16300,357400,0.0456071628427532,17931,5831.0,108.6,119.42,3000.0,1,31,23,35,25
2020-04-30,33500,104200,0.3214971209213051,18048,5801.6667,108.5,109.0,3000.0,1,19,15,18,12
2020-05-31,14400,120600,0.1194029850746268,18157,5772.3333,108.5,106.24,3000.0,1,28,24,22,19
2020-06-30,15000,246700,0.060802594244021,18262,5743.0,108.6,106.54,3000.0,1,39,31,36,31
2020-07-31,12800,277300,0.0461593941579516,18663,5788.0,109.1,111.39,3000.0,1,42,36,50,32
2020-08-31,11600,190300,0.0609563846558066,19075,5833.0,108.6,113.1,3000.0,1,39,39,46,38
2020-09-30,28600,431800,0.0662343677628531,19474,5878.0,109.1,113.32,3000.0,1,40,38,45,30
2020-10-31,15700,242600,0.0647155812036273,19907,5886.6667,109.1,113.19,3000.0,1,38,35,41,18
2020-11-30,18800,216500,0.0868360277136258,20327,5895.3333,108.9,112.6,3000.0,1,51,44,50,41
2020-12-31,38100,234800,0.1622657580919931,20761,5904.0,109.2,114.08,3000.0,1,41,36,50,29
2021-01-31,12900,192400,0.067047817047817,21447,5911.6667,109.0,116.64,3000.0,1,45,42,48,26
2021-02-28,10000,154400,0.0647668393782383,22074,5919.3333,109.1,120.15,3000.0,1,57,48,62,47
2021-03-31,29700,387100,0.076724360630328,22768,5927.0,109.4,123.74,2500.0,1,54,51,55,34
2021-04-30,15600,243300,0.064118372379778,23295,5935.3333,110.1,125.48,2500.0,1,58,50,63,43
2021-05-31,21300,257800,0.082622187742436,23834,5943.6667,110.8,127.17,2500.0,1,59,49,64,41
2021-06-30,30400,288000,0.1055555555555555,24357,5952.0,111.3,129.75,2500.0,1,60,55,70,48
2021-07-31,19800,225600,0.0877659574468085,24880,5929.0,111.3,132.71,2500.0,1,67,62,80,48
2021-08-31,17900,170100,0.1052322163433274,25404,5906.0,112.1,134.6,2500.0,1,65,62,78,57
2021-09-30,47700,318300,0.1498586239396795,25910,5883.0,112.4,134.89,2500.0,1,76,71,81,64
2021-10-31,30800,209400,0.1470869149952244,26725,5843.6667,113.6,138.64,2500.0,1,81,86,94,80
2021-11-30,39900,219500,0.1817767653758542,27524,5804.3333,114.5,145.78,2500.0,1,76,73,87,81
2021-12-31,52500,211400,0.2483443708609271,28348,5765.0,115.1,145.8,1500.0,1,60,55,58,43
2022-01-31,26600,218200,0.1219065077910174,29013,5755.3333,114.9,145.05,1500.0,1,79,74,93,69
2022-02-28,27300,161700,0.1688311688311688,29609,5745.6667,115.8,147.57,1500.0,1,76,68,82,71
2022-03-31,55200,347200,0.1589861751152073,30269,5736.0,117.1,160.23,1500.0,1,100,100,95,100
2022-04-30,23500,221700,0.105999097880018,30838,5712.0,120.0,161.8,1500.0,1,85,79,83,73
2022-05-31,27600,227100,0.1215323645970938,31425,5688.0,120.8,165.84,1500.0,1,73,62,68,68
2022-06-30,38300,244200,0.1568386568386568,31992,5664.0,121.8,183.82,0.0,0,100,87,100,85
2022-07-31,23000,215600,0.1066790352504638,32867,5668.3333,122.5,189.42,0.0,0,80,76,78,73
2022-08-31,23600,172300,0.1369704004643064,33752,5672.6667,123.1,175.17,0.0,0,70,63,73,61
2022-09-30,54700,329500,0.1660091047040971,34608,5677.0,123.8,166.5,0.0,0,63,55,66,56
2022-10-31,34200,237600,0.1439393939393939,35546,5713.0,126.2,163.61,0.0,0,59,50,59,54
2022-11-30,49500,246400,0.2008928571428571,36454,5749.0,126.7,163.61,0.0,0,56,51,56,38
2022-12-31,74600,230800,0.3232235701906412,37394,5785.0,127.2,155.29,0.0,0,51,47,51,48
